sourcetype,count
sessionlauncher,13733
skylight,71024265
"slwsconfigservice.log",56
"snow:alm_asset",2313
"snow:change_request",20320
"snow:change_task",10818
"snow:cmdb",66746281
"snow:cmdb_ci",66653322
"snow:cmdb_ci_app_server",850
"snow:cmdb_ci_computer",10361
"snow:cmdb_ci_db_instance",30430
"snow:cmdb_ci_infra_service",20332
"snow:cmdb_ci_server",176288
"snow:cmdb_ci_service",71
"snow:cmdb_ci_vm_instance",622435
"snow:cmdb_rel_ci",2462288
"snow:cmn_location",29
"snow:em_event",40100
"snow:incident",54550
"snow:problem",870
"snow:sys_audit",14896519
"snow:sys_audit_delete",1796994
"snow:sys_choice",739
"snow:sys_user",3251
"snow:sys_user_group",59
"snow:sysevent",6102212
"snow:syslog_transaction",28681542
"squid:access",1050607
"ssl_access_log",260440
"ssl_request_log",260439
sssd,736741
"sssd-too_small",38
"sssd_SAPGSS",824811
"sssd_kcm",5926
"sssd_kcm-too_small",12
"sssd_nss",81385
"sssd_nss-too_small",66
"sssd_pac-2",2
"sssd_pac-too_small",284
"sssd_pam",14945
"sssd_pam-too_small",12
"sssd_tmatenant.com-2",1786
stash,31333728
statistics,1785385
svagent,194469
"swp-too_small",1
syslog,679553634
"telegraf-too_small",45
"tenable:io:vuln_summary:ar",102
"tenable:sc:assets",39389
"tenable:sc:plugin",52829
"tenable:sc:plugins",218251
"tenable:sc:vuln",8866591
term,4593
"threatconnect:event",331
time,14686
top,5189563
tracking,1767167
"tsc:api:metrics:agents",8268
"tsc:api:metrics:api_client",322949
"tsc:api:metrics:ldapcheck",8687
"tsc:api:metrics:organization",8272
"tsc:api:metrics:plugins",423142
"tsc:api:metrics:repository",174069
"tsc:api:metrics:scanner",24807
"tsc:api:metrics:scanner_manager",173240
"tsc:api:metrics:scanresult",796114
"tsc:api:metrics:scans",33076
"tsc:api:metrics:server",24801
"tsc:api:metrics:softwareupdate",8687
"tsc:api:metrics:status",8265
"tsc:api:metrics:user",306372
tuned,6786
"tuned-30",33
"tuned-31",54
"tuned-32",116
uarespawnd,14642
"ufw-too_small",412
"unattended-upgrades",11112
"unattended-upgrades-dpkg-13",185
"unattended-upgrades-dpkg-14",17
"uninstall-2",188
"uninstall-3",355
"uninstall-too_small",27
unknown,20041
"unknown-too_small",21661
userdata,1691
usersWithLoginPrivs,86752
vault,11104372
vmstat,2869076
"vmware-vgauthsvc.log",114
"vmware-vmtoolsd-root",8
waagent,586651
who,369664
wsp,6803177
zypper,14456
